156_32	692589	693414
156_33	693414	693687
165_60	729630	729966
156_34	693687	693855
165_61	729966	730186
156_35	693855	694063
165_62	730186	730273
156_36	694063	694769
165_63	730273	730289
149_10	631013	631283
156_37	694769	695356
165_64	730289	730674
149_11	631283	632176
156_38	695356	695938
165_65	730674	730690
149_12	632176	632467
153_30	667321	667705
156_39	695938	696348
165_66	730690	731038
149_13	632467	632695
153_31	667705	668099
165_67	731038	731393
149_14	632695	632932
153_32	668099	668115
165_68	731393	731505
149_15	632932	633847
153_33	668115	668205
165_69	731505	731958
149_16	633847	634158
153_34	668205	668306
149_17	634158	634174
153_35	668306	668417
149_18	634174	634253
153_36	668417	669201
149_19	634253	634519
153_37	669201	669495
156_40	696348	696816
153_38	669495	669854
156_41	696816	696909
153_39	669854	669964
156_42	696909	697238
145_10	618041	618234
156_43	697238	697254
165_70	731958	732063
145_11	618234	618549
165_71	732063	732388
145_12	618549	618775
165_72	732388	733133
145_13	618775	619023
165_73	733133	733149
145_14	619023	619168
149_20	634519	636302
165_74	733149	733335
145_15	619168	619519
149_21	636302	636417
165_75	733335	733822
145_16	619519	619626
149_22	636417	636602
153_40	669964	670250
165_76	733822	733919
145_17	619626	619775
149_23	636602	636694
153_41	670250	670543
165_77	733919	734273
145_18	619775	620095
149_24	636694	636822
153_42	670543	670835
165_78	734273	734440
145_19	620095	620435
149_25	636822	636918
153_43	670835	671210
165_79	734440	734540
149_26	636918	637004
153_44	671210	671226
149_27	637004	637020
153_45	671226	671908
149_28	637020	637162
153_46	671908	673020
149_29	637162	637409
153_47	673020	673244
153_48	673244	673667
153_49	673667	673944
145_20	620435	621308
165_80	734540	734933
145_21	621308	621740
165_81	734933	735230
145_22	621740	622097
165_82	735230	735436
145_23	622097	622208
165_83	735436	735836
145_24	622208	622379
149_30	637409	637689
165_84	735836	736345
145_25	622379	622497
149_31	637689	638060
165_85	736345	737154
145_26	622497	622693
149_32	638060	639023
153_50	673944	674095
165_86	737154	737282
145_27	622693	622932
149_33	639023	639718
153_51	674095	674181
165_87	737282	737379
145_28	622932	623350
149_34	639718	640463
165_88	737379	737502
145_29	623350	623366
149_35	640463	640479
165_89	737502	737649
149_36	640479	640686
149_37	640686	640944
149_38	640944	641174
149_39	641174	641294
165_90	737649	737816
165_91	737816	738532
165_92	738532	738937
165_93	738937	739052
149_40	641294	641393
165_94	739052	739273
149_41	641393	641515
165_95	739273	739497
149_42	641515	641599
165_96	739497	739612
149_43	641599	641843
165_97	739612	739903
149_44	641843	642076
165_98	739903	740014
165_99	740014	740145
136_10	609382	609725
136_11	609725	609877
136_12	609877	610244
136_13	610244	610434
136_14	610434	610541
133_10	602040	602174
133_11	602174	602930
133_12	602930	603231
133_13	603231	603660
133_14	603660	603732
133_15	603732	604010
133_16	604010	604084
133_17	604084	604481
133_18	604481	604566
133_19	604566	604728
130_10	598823	598906
130_11	598906	598994
130_12	598994	599371
130_13	599371	599387
133_20	604728	604744
179_0	772630	772811
179_1	772811	773151
179_2	773151	773324
169_0	752674	752776
179_3	773324	774008
169_1	752776	752873
179_4	774008	774540
169_2	752873	752960
179_5	774540	775022
159_0	703008	703023
169_3	752960	753060
179_6	775022	775401
169_4	753060	753176
179_7	775401	775877
169_5	753176	753191
179_8	775877	776285
149_0	628211	628389
179_9	776285	776661
149_1	628389	628808
149_2	628808	628969
139_0	611325	611340
149_3	628969	629292
139_1	611340	611843
149_4	629292	629719
124_10	591401	591711
139_2	611843	612439
149_5	629719	629917
